bil,nama_estet,lesen,negeri,daerah,bulan,tanaman_baru
1,PORPERTY SKYLINE SDN. BHD.,502470-902000,JOHOR,JOHOR BARU,9,76
2,GARISANEMAS PLANTATION SDN.BHD.,502947-602000,JOHOR,JOHOR BARU,4,14.47
3,LADANG NENAS SIMPANG RENGAM,501620-002000,JOHOR,KLUANG,3,32
4,LADANG SINDORA,501863-602000,JOHOR,KLUANG,6,57.15
5,LADANG UNIJAYA,504524-202000,JOHOR,KLUANG,1,74
6,LADANG SUNGAI PAPAN,501476-202000,JOHOR,KOTA TINGGI,9,70
7,LADANG SUNGAI PAPAN,501476-202000,JOHOR,KOTA TINGGI,10,2
8,LADANG SIANG,501797-402000,JOHOR,KOTA TINGGI,12,21.84
9,LADANG PASIR LOGOK,502308-702000,JOHOR,KOTA TINGGI,9,34.41
10,LADANG PASIR LOGOK,502308-702000,JOHOR,KOTA TINGGI,10,12.39
