bil,nama_estet,lesen,negeri,daerah,bulan,tanaman_semula
1,LADANG MADOS PALOH,501654-402000,JOHOR,BATU PAHAT,8,183.42
2,HOK HUAT PLANTATIONS SDN. BHD.,502702-802000,JOHOR,BATU PAHAT,6,86.7
3,HOK HUAT PLANTATIONS SDN. BHD.,502702-802000,JOHOR,BATU PAHAT,8,31.03
4,GENTING SUNGEI RAYAT ESTATE,508590-202000,JOHOR,BATU PAHAT,8,39.7
5,GENTING SUNGEI RAYAT ESTATE,508590-202000,JOHOR,BATU PAHAT,9,91.8
6,GENTING SRI GADING ESTATE,508592-902000,JOHOR,BATU PAHAT,6,20.8
7,GENTING SRI GADING ESTATE,508592-902000,JOHOR,BATU PAHAT,7,58.68
8,FELDA INAS UTARA,500829-102000,JOHOR,JOHOR BARU,5,1086.97
9,FELDA BUKIT PERMAI,500905-002000,JOHOR,JOHOR BARU,1,60.67
10,LADANG SEDENAK,501224-702000,JOHOR,JOHOR BARU,5,44.29
